name,한글공항명,code,공항코드2(ICAO),공항운영상태구분
Mojave Air and Space Port,모헤이브 스페이스포트,MHV,KMHV,기존공항
Mohe Gulian Airport,모헤 굴리안 공항,OHE,ZYMH,기존공항
Moheli Bandar es Salam Airport,모헤리 반다르 에스 에슬람 공항,NWA,FMCI,기존공항
Molde Aro Airport,아로 공항,MOL,ENML,기존공항
Quad Cities International Airport,쾌드 시티즈 공항,MLI,KMLI,기존공항
Mombasa Moi International Airport,모이 국제공항,MBA,HKMO,기존공항
Monastir Habib Bourguiba International Airport,후비브 부르기바 국제공항,MIR,DTMB,기존공항
Monbetsu Airport,몬베쓰 공항,MBE,RJEB,기존공항
Greater Moncton Romeo LeBlanc International Airport,그레이터 몽튼 국제공항,YQM,CYQM,기존공항
Monrovia James Spriggs Payne Airport,스프릭 페연 공항,MLW,GLMR,기존공항
Monrovia Roberts International Airport,로버츠 국제공항,ROB,GLRB,기존공항
Mont Joli Airport,몬트조일 공항,YYY,CYYY,기존공항
Montauk Airport,스카이 포탈 공항,MTP,KMTP,기존공항
Montego Bay Sangster International Airport,상스터 국제공항,MBJ,MKJS,기존공항
Monterey Regional Airport,몬터레이 페닌슬라 공항,MRY,KMRY,기존공항
Monteria Los Garzones Airport,산 제로니모 공항,MTR,SKMR,기존공항
Monterrey Escobedo International Airport,제너럴 마리아노 공항  ,MTY,MMMY,기존공항
Monterrey Del Norte International Airport,델 노트 공항,NTR,MMAN,기존공항
Montes Claros Airport,몬테클라로스 공항,MOC,SBMK,기존공항
Montevideo Carrasco Airport,체러스코 공항,MVD,SUMU,기존공항
Montgomery Regional Airport,몽고메리  지역공항,MGM,KMGM,기존공항
Monticello Regional Airport,몬티첼로 국제공항,MXO,KMXO,기존공항
Montpellier Mediterranee Airport,메디테라니 공항,MPL,LFMT,기존공항
Montreal Mirabel International Airport,미라벨 공항,YMX,CYMX,기존공항
Montreal Pierre Elliott Trudeau International Airport,몬트리얼 피에르 엘리엇 트루도 국제공항,YUL,CYUL,기존공항
Montrose Regional Airport,몬트로즈 지역공항,MTJ,KMTJ,기존공항
Montserrat John A Osborne Airport,존 A 오스본공항,MNI,TRPG,기존공항
Mont Tremblant International Airport,리베에르 / 루지 몽 트랑블랑 국제공항,YTM,CYFJ,기존공항
Melbourne Moorabbin Airport,무라빈 공항,MBW,YMMB,기존공항
Moorea Temae Airport,테마에 공항,MOZ,NTTM,기존공항
Moosonee Airport,무소니 공항,YMO,CYMO,기존공항
Mopti Airport,바베 공항,MZI,GAMB,기존공항
Mora Siljan Airport,모라 공항,MXX,ESKM,기존공항
Moranbah Airport,모란바 공항,MOV,YMRB,기존공항
Moree Airport,모리 공항,MRZ,YMOR,기존공항
Morelia Airport,제너널 프란치스코 J. 뮤지카 국제공항,MLM,MMMM,기존공항
Morgantown Municipal Airport,모르간타운 시공항,MGW,KMGW,기존공항
Hanamaki Airport,하나마키 공항,HNA,RJSI,기존공항
Morlaix Ploujean Airport,모리아이스 플루쟁 공항,MXN,LFRU,기존공항
Mornington Island Airport,모닝턴 아일랜드 공항,ONG,YMTI,기존공항
Morondava Airport,모론다바 공항,MOQ,FMMV,기존공항
Morristown Airport,모리스타운 시공항,MMU,KMMU,기존공항
Morrisville-Stowe State Airport,모리스빌 스토우 주립 공항,MVL,KMVL,기존공항
Moruya Airport,모루야 공항,MYA,YMRY,기존공항
Moscow Domodedovo Airport,도모도데보 국제공항,DME,UUDD,기존공항
Ostafyevo Airport,오스타피에보 국제공항,OSF,UUMO,기존공항
Moscow Sheremetyevo Airport,세레메티에포 국제공항,SVO,UUEE,기존공항
Moscow Vnukovo Airport,부누코프 공항,VKO,UUWW,기존공항
Moscow Zhukovsky International Airport,모스크바 주코프스키 국제공항,ZIA,UUBW,기존공항
Moses Lake Grant County International Airport,그랜트 카운티 국제공항,MWH,KWMH,기존공항
Dunedin Airport,두네딘 국제공항,DUD,NZDN,기존공항
Central Wisconsin Airport,센트럴 위스콘신 공항,CWA,KCWA,기존공항
Mosjoen Kjaerstad Airport,키열스타트 공항,MJF,ENMS,기존공항
Oslo Moss Rygge Airport,"모스공항, 리지/라이게 공항",RYG,ENRY,기존공항
Mossoro Airport,딕셉트 로자도 공항,MVF,SBMS,기존공항
Mostar International Airport,모스타르 국제공항,OMO,LQMO,기존공항
Mosul International Airport,모술 국제공항,OSM,ORBM,기존공항
Moundou Airport,문두 공항,MQQ,FTTD,기존공항
Mount Gambier Airport,마운트겜비어 공항,MGB,YMTG,기존공항
Mount Hagen Kagamuga Airport,카가무가 공항,HGU,AYMH,기존공항
Mount Isa Airport,마운트이사 공항,ISA,YBMA,기존공항
Mount Keith Airport,마운트 키스 공항,WME,YMNE,기존공항
Kilimanjaro Airport,킬리만자로 국제공항  ,JRO,HTKJ,기존공항
Mount Magnet Airport,마운트마그넷 공항,MMG,YMOG,기존공항
Mpacha Katima Mulilo Airport,엠파챠 공항,MPA,FYKM,기존공항
Mtwara Airport,므타라 공항,MYW,HTMT,기존공항
Muan International Airport,무안 국제공항,MWX,RKJB,기존공항
Mudanjiang Hailang International Airport,무단장  공항,MDG,ZYMD,기존공항
Mudgee Airport,머지 공항,DGE,YMDG,기존공항
Dalaman Airport,달라만 공항,DLM,LTBS,기존공항
Mukah Airport,무카 공항,MKM,WBGK,기존공항
Riyan Airport,리얀 공항,RIY,OYRN,기존공항
Mukhaizna Airport,무카이즈나 공항,UKH,OOMK,기존공항
EuroAirport Basel/Mulhouse/Freiburg French,유로 공항 ,MLH,LFSB,기존공항
Multan Airport,물탄 국제공항,MUX,OPMT,기존공항
Mulu Airport,무루 공항,MZV,WBMU,기존공항
Mumbai Chhatrapati Shivaji Maharaj International Airport,채해트라피티 시버지 국제공항,BOM,VABB,기존공항
Munda Airport,문다 공항,MUA,AGGM,기존공항
Munich Augsburg Airport,아우스버그 무엘하우젠 공항,AGB,EDMA,기존공항
Munich Airport,뮌헨 국제공항,MUC,EDDM,기존공항
Murcia San Javier Airport,산자비에 공항,MJV,LELC,기존공항
Murcia Corvera International Airport,무르시아 지역 국제공항,RMU,LEMI,기존공항
Murmansk Airport,무르만스크 공항,MMK,ULMM,기존공항
Murray Island Airport,머레이 아일랜드 공항,MYI,YMUI,기존공항
Mus Airport,무슈 공항,MSR,LTCK,기존공항
Oita Airport,오이타 공항,OIT,RJFO,기존공항
Muscat International Airport,시이브 국제공항,MCT,OOMS,기존공항
Muscle Shoals Northwest Alabama Regional Airport,노스 알래바마 지역공항,MSL,KMSL,기존공항
Muskegon County Airport,머스키간 카운티 공항,MKG,KMKG,기존공항
Muskoka Airport,무스코카 공항,YQA,CYQA,기존공항
Musoma Airport,무소마 공항,MUZ,HTMU,기존공항
Muzaffarpur Airport,무자파르푸르 공항,MZU,VEMZ,기존공항
Mwanza Airport,므완자 공항,MWZ,HTMW,기존공항
Myitkyina Airport,미치나 공항,MYT,VYMK,기존공항
Mykolaiv International Airport,미콜라이프 공항,NLV,UKON,기존공항
Mykonos Manto Mavrogenous Airport,미코노스 아일랜드 내셔널 공항,JMK,LGMK,기존공항
Myrtle Beach International Airport,머틀 비치 국제공항,MYR,KMYR,기존공항
Mysore Airport (Mysuru Airport),마이소르 공항,MYQ,VOMY,기존공항
Mytilini Odysseas Elytis Airport,미틸렌 국제공항 ,MJT,LGMT,기존공항
Nabire Airport,나비레 공항,NBX,WABI,기존공항
Nacala Airport,나칼라 공항,MNC,FQNC,기존공항
Nadi International Airport,나디 국제공항,NAN,NFFN,기존공항
Nador El Aroui Airport,나도르 국제공항 ,NDR,GMMW,기존공항
Nadym Airport,나임 공항,NYM,USMM,기존공항
Naga Airport,나가 공항,WNP,RPUN,기존공항
Nagoya Chubu Centrair International Airport,주부 센트에어 국제공항  ,NGO,RJGG,기존공항
Nagoya Komaki Airport,코마키 공항,NKM,RJNA,기존공항
Nagpur Sonegaon Airport,암베드카 국제공항 ,NAG,VANP,기존공항
Tahuna Naha Airport,나하 공항,NAH,WAMH,기존공항
Nairobi Jomo Kenyatta International Airport,조모 케냐타 국제공항,NBO,HKJK,기존공항
Nairobi Wilson Airport,윌슨 공항,WIL,HKNW,기존공항
Al Najaf Al-Ashraf International Airport,알나자프 알아슈라프 국제공항,NJF,ORNI,기존공항
Najran Airport,네란 국내공항,EAM,OENG,기존공항
Nakashibetsu Airport,나가시베쓰 공항,SHB,RJCN,기존공항
Nakhchivan Airport,나히체반 공항,NAJ,UBBN,기존공항
Nakhon Ratchasima Airport,낙혼랏챠시마 공항,NAK,VTUQ,기존공항
Nakhon Si Thammarat Airport,나콘시탐마랏 공항,NST,VTSF,기존공항
Nakuru Airport,나쿠루 공항,NUU,HKNK,기존공항
Xinyuan Nalati Airport,신유안 날라티 공항,NLT,ZWNL,기존공항
Nalchik Airport,날칙 공항,NAL,URMN,기존공항
Namangan Airport,나망간 공항,NMA,UTFN,기존공항
Namibe Welwitschia Mirabilis Airport,나미비 공항,MSZ,FNMO,기존공항
Nampula International Airport,남풀라 공항,APL,FQNP,기존공항
Namrole Airport,남로레 공항,NRE,WAPG,기존공항
Namsos Airport,남소스 공항,OSY,ENNM,기존공항
Nan Nhakon Airport,난 공항,NNT,VTCN,기존공항
Nanaimo Airport,너나이모 공항,YCD,CYCD,기존공항
Nanchang Changbei International Airport,난창  국제공항,KHN,ZSCN,기존공항
Nanchong Gaoping Airport,난충  공항,NAO,ZUNC,기존공항
Nanded Airport,난데드 공항,NDC,VAND,기존공항
Matsu Nangan Airport,낭안 공항,LZN,RCFG,기존공항
Nanjing Lukou International Airport,난징  루쿠 국제공항,NKG,ZSNJ,기존공항
Kochi Ryoma Airport,고치 공항,KCZ,RJOK,기존공항
Nanning Wuxu International Airport,난닝 웍슈 국제공항,NNG,ZGNN,기존공항
Nantes Atlantique Airport,아틀란티끄 공항,NTE,LFRS,기존공항
Nantong Xingdong Airport,난퉁 신동 공항,NTG,ZSNT,기존공항
Nantucket Memorial Airport,낸터켓 미모리얼 공항,ACK,KACK,기존공항
Nanyang Jiangying Airport,난양  공항,NNY,ZHNY,기존공항
Nanyuki Airport,난유키 공항,NYK,HKNL,기존공항
Napier Hawke's Bay Airport,호크스 베이 공항,NPE,NZNR,기존공항
Naples Airport,나폴리 /나포리 시공항,APF,KAPF,기존공항
Naples Capodichino Airport,나폴리 국제공항,NAP,LIRN,기존공항
Napuka Island Airport,나푸카 공항,NAU,NTGN,기존공항
Narathiwat Airport,나라티왓 공항,NAW,VTSC,기존공항
Narrabri Airport,나라브리 공항,NAA,YNBR,기존공항
Narrandera Airport,나란데라 공항,NRA,YNAR,기존공항
Narsarsuaq Airport,나사수악 공항,UAK,BGBW,기존공항
Narvik Framnes Airport,프람네스 공항,NVK,ENNK,기존공항
Naryan-Mar Airport,나르산-마 공항,NNM,ULAM,기존공항
Nashville International Airport,내슈빌 국제공항,BNA,KBNA,기존공항
Nashik Ozar Airport,간디나가르 공항,ISK,VAOZ,기존공항
Nassau Lynden Pindling International Airport,나사우 국제공항,NAS,MYNN,기존공항
Natal Aluizio Alves International Airport,아우구스토 세베로 공항,NAT,SBSG,기존공항
Natashquan Airport,나타쉬칸 공항,YNA,CYNA,기존공항
Sendai Airport,센다이 공항,SDJ,RJSS,기존공항
Natuna Ranai Airport,라나이 공항,NTX,WIDO,기존공항
Nauru International Airport,나우루제도 국제공항,INU,ANYN,기존공항
Navegantes Airport,미니스터 빅토 컨더 국제공항,NVT,SBNF,기존공항
Navoi Airport,나보이 국제공항,NVI,UTSA,기존공항
Nawabshah Airport,나왑샤 공항,WNS,OPNH,기존공항
Naxos Airport,낙소스 아일랜드 내셔널 공항,JNX,LGNX,기존공항
Nay Pyi Taw International Airport,네이피타우 국제공항,NYT,VYNT,기존공항
Khanidanda Airport,엔덴데 공항,KDN,VNKD,기존공항
N'Djamena Airport,은자메나 국제공항,NDJ,FTTJ,기존공항
Ndola Simon Mwansa Kapwepwe International Airport,은돌라 공항,NLA,FLND,기존공항
Necochea Airport,네코체아 공항,NEC,SAZO,기존공항
Negril Airport,네그릴 공항,NEG,MKNG,기존공항
Neiva Benito Salas Airport,라 마르귀타 공항,NVA,SKNV,기존공항
Nelson Airport,넬슨 공항,NSN,NZNS,기존공항
Nelson Lagoon Airport,넬슨 라군 공항,NLG,PAOU,기존공항
Kruger Mpumalanga International Airport,쿠루거 음푸마랑가 국제공항,MQP,FAKN,기존공항
Neom Bay Airport,네옴베이 공항,NUM,OENN,기존공항
Nepalganj Airport,네팔가니 공항,KEP,VNNG,기존공항
Neerlerit Inaat Airport,네러릿 이낫 공항 ,CNP,BGCO,기존공항
Neubrandenburg Airport,노이브란덴부르크 공항,FNB,EDBN,기존공항
Neuquen Presidente Peron International Airport,네우켄 공항,NQN,SAZN,기존공항
Nevis Vance W Amory Airport,반스 W. 아모리 국제공항,NEV,TKPN,기존공항
Nevsehir Kapadokya Airport,네브셰히르 공항,NAV,LTAZ,기존공항
New Bedford Regional Airport,뉴베드퍼드 지역공항,EWB,KEWB,기존공항
Coastal Carolina Regional Airport,시몬스 노트 ,EWN,KEWN,기존공항
Tweed New Haven Airport,트위드 뉴해븐 지역공항,HVN,KHVN,기존공항
Acadiana Regional Airport,아카디아나 지역공항,ARA,KARA,기존공항
New Orleans Louis Armstrong International Airport,루이 암스트롱 국제공항 ,MSY,KMSY,기존공항
New Orleans Lakefront Airport,레이크프론트 공항,NEW,KNEW,기존공항
New Plymouth Airport,뉴플리머스 공항,NPL,NZNP,기존공항
New Stuyahok Airport,뉴스투야혹 공항,KNW,PANW,기존공항
El Kharga Airport,카르가 공항,UVL,HEKG,기존공항
New York John F Kennedy International Airport,존 F. 케네디 국제공항,JFK,KJFK,기존공항
New York LaGuardia Airport,라구아디아 국제공항,LGA,KLGA,기존공항
New York Newark Liberty International Airport,뉴왁 리버티 국제공항,EWR,KEWR,기존공항
New York Stewart International Airport,스튜어트 공항,SWF,KSWF,기존공항
Lake Macquarie Airport,벨먼트 공항,BEO,YLMQ,기존공항
Newcastle Airport (South Africa),뉴캐슬 공항,NCS,FANC,기존공항
Newcastle Williamtown Airport,윌리암타운 공항,NTL,YWLM,기존공항
Newcastle International Airport,뉴캐슬 국제공항,NCL,EGNT,기존공항
Newman Airport,뉴먼 공항,ZNE,YNWN,기존공항
Newport State Airport,뉴포트 스테이트 공항 ,NPT,KUUU,기존공항
Newport Municipal Airport,뉴포트 시공항,ONP,KONP,기존공항
Newport News Williamsburg International Airport,뉴포트 뉴스 / 윌리암스버그 국제공항,PHF,KPHF,기존공항
Cornwall Airport Newquay,세인트 마건 공군기지,NQY,EGHQ,기존공항
Ngaoundere Airport,음 게운데레 공항,NGE,OIBV,기존공항
Nha Trang Cam Ranh Airport,캄 라흐 공항,CXR,VVCR,기존공항
Niagara Falls International Airport,나이아가라폴스 국제공항,IAG,KIAG,기존공항
Niamey Airport,디오리 히머니 국제공항,NIM,DRRN,기존공항
Niamtougou International Airport,니암투구 공항,LRL,DXNG,기존공항
Nice Cote d'Azur Airport,코트 다쥐르 공항,NCE,LFMN,기존공항
Nosara Beach Airport,노사라비치 공항,NOB,MRNS,기존공항
Niigata Airport,니가타 /키가타 공항,KIJ,RJSN,기존공항
Nikunau Airport,니쿠나우 공항,NIG,NGNU,기존공항
Nimes Grande Provence Mediterranee Airport,님 아를 카마규 공항,FNI,LFTW,기존공항
Ningbo Lishe International Airport,닝보  리쉬 국제공항,NGB,ZSNB,기존공항
Nis Konstantin Veliki Airport,니스 국제공항,INI,LYNI,기존공항
Nizhnekamsk Begishevo Airport,베지쉐프 공항,NBC,UWKE,기존공항
Nizhnevartovsk Airport,니즈네바토브스크 공항,NJC,USNN,기존공항
Nizhny Novgorod International Airport,스트리기노 공항,GOJ,UWGG,기존공항
Nkayi Yokangassi Airport,요캉가시 공항,NKY,FCBY,기존공항
Noatak Airport,노아탁 공항,WTK,PAWN,기존공항
Nogales International Airport,노갈레스 국제공항,NOG,MMNG,기존공항
Nome Airport,놈 공항,OME,PAOM,기존공항
Nonouti Airport,노누티 공항,NON,NGTO,기존공항
Norderney Airport,노더니 공항,NRD,EDWY,기존공항
Sorkjosen Airport,쇠르쿄젠 공항,SOJ,ENSR,기존공항
Norfolk International Airport,노퍽 국제공항,ORF,KORF,기존공항
Norfolk Island Airport,노포크아일랜드 공항,NLK,YSNF,기존공항
Norilsk Alykel Airport,노릴 공항,NSK,UOOO,기존공항
Norman Wells Airport,노먼 웰즈 공항,YVQ,CYVQ,기존공항
Normanton Airport,노먼턴 공항,NTN,YNTN,기존공항
Norrkoping Airport,쿤상겐 공항,NRK,ESSP,기존공항
North Bay/Jack Garland Airport,노스베이 공항,YYB,CYYB,기존공항
Southwest Oregon Regional Airport,노스벤드 시공항,OTH,KOTH,기존공항
North Eleuthera International Airport,노스 일루서라 국제공항,ELH,MYEH,기존공항
Lilabari Airport,릴라바리 공항,IXI,VELR,기존공항
North Platte Regional Airport,노스플랫 지역공항  ,LBF,KLBF,기존공항
North Ronaldsay Airport,노스로널드세이 공항,NRL,EGEN,기존공항
Northway Airport,노스웨이 공항,ORT,PAOR,기존공항
Norway House Airport,노르웨이 하우스 공항,YNE,CYNE,기존공항
Norwich International Airport,노리치 국제공항,NWI,EGSH,기존공항
Norwood Memorial Airport,노우드 미모리얼 공항,OWD,KOWD,기존공항
Noshahr Airport,노샤르 공항,NSH,OINN,기존공항
Nosy Be Fascene Airport,페신 공항,NOS,FMNN,기존공항
Notodden Airport,노토덴 공항,NTB,ENNO,기존공항
East Midlands Airport,노팅엄 이스트 미들랜 공항,EMA,EGNX,기존공항
Nouadhibou Airport,누아디부 국제공항,NDB,GQPP,기존공항
Nouakchott-Oumtounsy International Airport,누악쇼트 국제공항,NKC,GQNN,기존공항
Noumea Magenta Airport,마젠타 공항,GEA,NWWM,기존공항
Noumea Tontouta Airport,라 톤투타 국제공항,NOU,NWWW,기존공항
Novokuznetsk Spichenkovo Airport,노보쿠즈네츠크 공항,NOZ,UNWW,기존공항
Novosibirsk Tolmachevo Airport,노보시비르스크 공항 ,OVB,UNNT,기존공항
Okha Novostroyka Airport,오하 공항,OHH,UHSH,기존공항
Novy Urengoy Airport,노비 우렝고이 공항,NUX,USMU,기존공항
Noyabrsk Airport,노야브스크 공항,NOJ,USRO,기존공항
Nuevo Laredo Quetzalcoatl International Airport,케첼코울 국제공항,NLD,MMNL,기존공항
Nuiqsut Airport,닉서트 공항,NUI,PAQT,기존공항
Nuku Hiva Airport,누쿠 히바 공항,NHV,NTMD,기존공항
Nuku'alofa Fua'Amotu International Airport,후아모투 국제공항,TBU,NFTF,기존공항
Nukus Airport,누쿠스 공항,NCU,UTNN,기존공항
Nuremberg Albrecht Durer Airport,뉘른베르크 공항,NUE,EDDN,기존공항
Nur-Sultan Nazarbayev International Airport,아스타나 국제공항,NQZ,UACC,기존공항
Nuuk Airport,누우크 공항,GOH,BGGH,기존공항
Nyagan Airport,냥꾼 공항,NYA,USHN,기존공항
Nyala Airport,니왈라 공항,UYL,HSNN,기존공항
Oakland International Airport,오클랜드 국제공항,OAK,KOAK,기존공항
Oaxaca Xoxocotlan Airport,속소코탄 공항,OAX,MMOX,기존공항
Oban Airport,오반 공항,OBN,EGEO,기존공항
Obihiro Airport,오비히로 공항,OBO,RJCB,기존공항
Grodno Airport,그로드노 공항,GNA,UMMG,기존공항
Ocala International Airport,테일러 필드 공항,OCF,KOCF,기존공항
Boscobel Ian Fleming International Airport,보스코벨 공항,OCJ,MKBS,기존공항
Oecusse Airport,오에쿠시 공항,OEC,WPOC,기존공항
Odense Hans Christian Andersen Airport,벨드링제 공항,ODE,EKOD,기존공항
Odessa International Airport,오데사 센트럴 공항,ODS,UKOO,기존공항
Odienne Airport,오디엔 공항,KEO,DIOD,기존공항
Ibaraki Airport,히야쿠리 공항,IBR,RJAH,기존공항
Ogden Regional Airport,오그던 힌클리 공항,OGD,KOGD,기존공항
Ogdensburg International Airport,오그덴스부르크 국제공항,OGS,KOGS,기존공항
Georgetown Ogle Airport,오글 공항,OGL,SYGO,기존공항
Ohrid Airport,생 폴 더 아포스틀 공항 ,OHD,LWOH,기존공항
Kosrae International Airport,코스라에 국제공항,KSA,PTSA,기존공항
Okayama Airport,오카야마 /오까야마 공항,OKJ,RJOB,기존공항
Okhotsk Airport,오호츠크 공항,OHO,UHOO,기존공항
Okinawa Naha Airport,나하 공항,OKA,ROAH,기존공항
Oki Island Airport,오키 공항,OKI,RJNO,기존공항
Will Rogers World Airport,윌 로저스 월드 공항,OKC,KOKC,기존공항
Okushiri Airport,오쿠시리 공항,OIR,RJEO,기존공항
Kansas City New Century Aircenter Airport,뉴 센트리 에어센터,JCI,KIXD,기존공항
Olbia Costa Smeralda Airport,코아타 스메랄다 공항,OLB,LIEO,기존공항
Old Crow Airport,올드 크로우 공항,YOC,CYOC,기존공항
Olive Branch Airport,올리브브랜치 공항,OLV,KOLV,기존공항
Olympic Dam Airport,올림픽 댐 공항,OLP,YOLD,기존공항
Omaha Eppley International Airport,에플리 필드,OMA,KOMA,기존공항
Omsk Tsentralny Airport,첸틀러니 공항,OMS,UNOO,기존공항
Nagasaki Airport,나가사키 공항,NGS,RJFU,기존공항
Andimba Toivo ya Toivo Airport,온당바 공항,OND,FYOA,기존공항
Ondjiva Airport,온지바 페레이라 공항,VPE,FNGI,기존공항
Onotoa Airport,오노토아 공항,OOT,NGON,기존공항
Ontario International Airport,온타리오 국제공항,ONT,KONT,기존공항
Oradea Airport,오라데아 국제공항,OMR,LROD,기존공항
Oran Airport,오랑 공항,ORA,SASO,기존공항
Oran Ahmed Ben Bella Airport,에 세니아 공항,ORN,DAOO,기존공항
Orange Regional Airport,스프링힐 공항,OAG,YORG,기존공항
Aruba Queen Beatrix International Airport,레이나 비트릭스 공항,AUA,TNCA,기존공항
Ordos Ejin Horo Airport,오르도스 신간호로 공항,DSN,ZBDS,기존공항
Orebro Bofors Airport,오레브로 보포르 공항,ORB,ESOE,기존공항
Oryol Yuzhny Airport,오yu 유즈니 공항,OEL,UUOR,기존공항
Orenburg Tsentralny Airport,첸틀러니 공항,REN,UWOO,기존공항
Orland Airport,올랜드 마인 에어스테이션,OLA,ENOL,기존공항
Orlando International Airport,올랜도 국제공항,MCO,KMCO,기존공항
Orlando Executive Airport,헌던 공항,ORL,KORL,기존공항
Orlando Sanford International Airport,샌포드 국제공항,SFB,KSFB,기존공항
Ornskoldsvik Airport,외른셸스비크 공항,OER,ESNO,기존공항
Orsk Airport,오르스크 공항,OSW,UWOR,기존공항
Orsta-Volda Hovden Airport,호프덴 공항,HOV,ENOV,기존공항
Oruro Juan Mendoza Airport,오루로 공항,ORU,SLOR,기존공항
Osaka Itami Airport,이타미 공항,ITM,RJOO,기존공항
Osaka Kansai International Airport,간사이 국제공항,KIX,RJBB,기존공항
Oscoda Wurtsmith Airport,오스코다 워츠미스 공항,OSC,KOSC,기존공항
Osh Airport,오쉬 공항,OSS,UCFO,기존공항
Oshkosh Wittman Regional Airport,위트먼 리저널 공항,OSH,KOSH,기존공항
Osijek Airport,오시예크 공항,OSI,LDOS,기존공항
Oskarshamn Airport,오스카르스함 공항,OSK,ESMO,기존공항
Avinor Oslo Airport,오슬로 공항  ,OSL,ENGM,기존공항
Osorno Canal Bajo Airport,카날 바조 공항,ZOS,SCJO,기존공항
Oostende/Brugge Airport,오스텐 브루즈 국제공항,OST,EBOS,기존공항
Are Ostersund Airport,프로소 공항,OSD,ESNZ,기존공항
Ostrava Leos Janacek Airport,오스트라바 레오 자냐체크 공항 ,OSR,LKMT,기존공항
Warri Airport,워리 공항,QRW,DNSU,기존공항
Ottawa International Airport,오타와 맥도날 카티어 국제공항,YOW,CYOW,기존공항
Ouagadougou Airport,와가두구 공항,OUA,DFFD,기존공항
Ouargla Ain Beida Airport,아인 바이다 공항,OGX,DAUU,기존공항
Ouarzazate Airport,아우아자자테 공항,OZZ,GMMZ,기존공항
Oujda Angads Airport,레스 안가데스 공항,OUD,GMFO,기존공항
Oulu Airport,오울루 공항,OUL,EFOU,기존공항
Ouvea Airport,울룹 공항,UVE,NWWV,기존공항
Owensboro-Daviess County Regional Airport,오언즈버러 데이비스 카운티 공항,OWB,KOWB,기존공항
Owerri Sam Mbakwe Airport,이모 공항 ,QOW,DNIM,기존공항
London Oxford Airport,옥스퍼드 공항,OXF,EGTK,기존공항
University-Oxford,유니버시티 옥스퍼드  공항,UOX,KUOX,기존공항
Ozamiz City Labo Airport,라보 공항,OZC,RPMO,기존공항
Paamiut Airport,파미웃 공항 ,JFR,BGPT,기존공항
Padang Minangkabau International Airport,미낭카바우 국제공항,PDG,WIPT,기존공항
Aek Godang Airport,아엑 고당 공항,AEG,WIME,기존공항
Paderborn/Lippstadt Airport,페더브른 리프슈타트 공항,PAD,EDLP,기존공항
Barkley Regional Airport,바클리 지역공항,PAH,KPAH,기존공항
Pagadian Airport,파가디안 공항,PAG,RPMP,기존공항
Page Airport,페이지 시공항,PGA,KPGA,기존공항
Pago Pago Tafuna International Airport,파고파고 국제공항  ,PPG,NSTU,기존공항
Pajala Kalla International Airport,파얄라 공항,PJA,ESUP,기존공항
Pakse Airport,팍스 공항,PKZ,VLPS,기존공항
Pakuba Airport,몬티조 공항,PAF,HUPA,기존공항
Palanga International Airport,팔랑가 국제공항,PLQ,EYPA,기존공항
Palangkaraya Tjilik Riwut Airport,티지크 리우트 공항  ,PKY,WAGG,기존공항
Palembang Mahmud Badaruddin II Airport,술탄 무하무드 바다루딘 II 공항,PLM,WIPP,기존공항
Palenque International Airport,팔렌케 국제공항,PQM,MMPQ,기존공항
Palermo Falcone Borsellino Airport,푼타 라이시 공항 ,PMO,LICJ,기존공항
Palm Island Airport,팜아일랜드 공항,PMK,YPAM,기존공항
Palm Springs International Airport,팜스프링스 국제공항,PSP,KPSP,기존공항
Thermal Jacqueline Cochran Regional Airport,데저트 리조츠 지역공항,TRM,KTRM,기존공항
Palma de Mallorca Airport,팔마데마요르카 공항,PMI,LEPA,기존공항
Palmas Airport,팔마스 공항,PMW,SBPJ,기존공항
Palmerston North Airport,파머스턴노스 국제공항,PMR,NZPM,기존공항
Palo Alto Airport,팔로알토 산타 클라라 카운티 공항,PAO,KPAO,기존공항
Palu Mutiara Airport,무티아라 공항,PLW,WAML,기존공항
Pamplona Airport,팜플로나 공항,PNA,LEPP,기존공항
Panama City Albrook International Airport,파이틸라 공항  ,PAC,MPMG,기존공항
Panama City Tocumen International Airport,토쿠먼 국제 공항  ,PTY,MPTO,기존공항
Panama City Pacific International Airport,파나마 시티 퍼시픽 국제공항,BLB,MPPA,기존공항
Panama City Northwest Florida Beaches International Airport,노스웨스트 플로리다 해변 국제 공항,ECP,KECP,기존공항
Pangkal Pinang Depati Amir Airport,팡칼피낭 공항,PGK,WIPK,기존공항
Pangkalanbuun Airport,이스칸다르 공항,PKN,WAGI,기존공항
Pantnagar Airport,판트니가르 공항,PGH,VIPT,기존공항
Pantelleria Airport,판텔레리아 공항,PNL,LICG,기존공항
Panzhihua Bao'anying Airport,판즈화 바오안잉공항,PZI,ZUZH,기존공항
Papa Westray Airport,파파웨스트레이 공항,PPW,EGEP,기존공항
Papeete Faa'a Airport,파아 공항,PPT,NTAA,기존공항
Paphos International Airport,파포스 국제공항,PFO,LCPH,기존공항
Paraburdoo Airport,파라버두 공항,PBO,YPBO,기존공항
Paramaribo Zorg en Hoop Airport,호르헤 앙 후프 공항,ORG,SMZO,기존공항
Paramaribo Zanderij International Airport,잰더리지 국제공항  ,PBM,SMJP,기존공항
Parana General Justo Jose de Urquiza Airport,제너럴 어퀴자 공항,PRA,SAAP,기존공항
Paranagua Santos Dumont Airport,파라나과 시공항,PNG,SSPG,기존공항
Paraparaumu Kapiti Coast Airport,파라파라우무 공항,PPQ,NZPP,기존공항
