name,한글공항명,code,공항코드2(ICAO),공항운영상태구분
Anshun Huangguoshu Airport,후앙 구오 수 공항,AVA,ZUAS,기존공항
Hatay Airport,하타이 공항,HTY,LTDA,기존공항
Antalaha Antsirabato,안치라바토 공항,ANM,FMNH,기존공항
Antalya Airport,안탈리아 공항,AYT,LTAI,기존공항
Antananarivo Ivato International Airport,아바토 국제공항,TNR,FMMI,기존공항
Antofagasta Cerro Moreno Airport,세로 모레노 공항,ANF,SCFA,기존공항
Antsirabe Airport,안트시라베 공항,ATJ,FMME,기존공항
Antsiranana Arrachart Airport,아라차트공항,DIE,FMNA,기존공항
Antsohihy Ambalabe Airport,암발라브 공항,WAI,FMNW,기존공항
Antwerp International Airport,앤트워프 국제공항 ,ANR,EBAW,기존공항
Anvik Airport,앤빅 공항,ANV,PANV,기존공항
Anyang Hongqiqu Airport,안양 공항,AYN,ZHAY,기존공항
Aomori Airport,아오모리 공항,AOJ,RJSA,기존공항
Aosta Corrado Gex Airport,코래도 젝스 공항,AOT,LIMW,기존공항
Apartado Antonio Roldan Betancourt Airport,안토니오 롤란 베탄코트 공항,APO,SKLC,기존공항
Kirovsk/Apatity Khibiny Airport,키로프스크-아파르 티 공항,KVK,ULMK,기존공항
Apia Faleolo Airport,팔레오로 공항,APW,NSFA,기존공항
Apia Fagali'i Airport,파갈리이 공항,FGI,NSFI,기존공항
Apolo Airport,아폴로 공항,APB,SLAP,기존공항
Aqaba King Hussein International Airport,킹 후세인 국제공항 ,AQJ,OJAQ,기존공항
Aracaju Airport,산타마리아 공항,AJU,SBAR,기존공항
Aracatuba Airport,아라카츄바 공항,ARU,SBAU,기존공항
Arad Airport,아라드 국제공항,ARW,LRAR,기존공항
Araguaina Airport,아라과이나 공항,AUX,SWGN,기존공항
Araak Airport,아라크 공항,AJK,OIHR,기존공항
Aranuka Buariki Airport,아라누카 공항,AAK,NGUK,기존공항
Arapongas Alberto Bertelli Airport,아라퐁가스 알베르토 베르텔리 공항,APX,SSOG,기존공항
Arar Airport,아라 국내공항,RAE,OERR,기존공항
Araraquara Bartolomeu de Gusmao Airport,아라라쿠아라 공항,AQA,SBAQ,기존공항
Arauca Airport,산티아고 페레즈 공항,AUC,SKUC,기존공항
Araxa Airport,아락사 공항,AAX,SBAX,기존공항
Arba Minch Airport,알바민치 공항,AMH,HAAM,기존공항
Arcata-Eureka Airport,알카타 유레카 공항,ACV,KACV,기존공항
Alar Talimu Airport,아체필드 공항,ACF,ZWAL,기존공항
Arctic Village Airport,아틱빌리지 공항,ARC,PARC,기존공항
Ardabil Airport,아드블 공항,ADU,OITC,기존공항
Ardmore Industrial Airpark,아드모어 시공항,ADM,KADM,기존공항
Arequipa Rodriguez Ballon Airport,로드리게즈 발롱 공항,AQP,SPQU,기존공항
Arica Chacalluta Airport,챠깔루타 공항,ARI,SCAR,기존공항
Arkhangelsk Talagi Airport,탈라기 공항,ARH,ULAA,기존공항
Arlit Airport,알릿 공항,RLT,DRZL,기존공항
Armenia El Eden Airport,엘 에덴 공항,AXM,SKAR,기존공항
Armidale Airport,아미데일 공항,ARM,YARM,기존공항
Arorae Airport,아로래 아일랜드 공항,AIS,NGTR,기존공항
Lanzarote Airport,아리시페 공항,ACE,GCRR,기존공항
Arthur's Town Airport,아서스 타운 공항,ATC,MYCA,기존공항
Arua Airport,아루아 공항,RUA,HUAR,기존공항
Arusha Airport,아루샤 공항,ARK,HTAR,기존공항
Arutua Airport,아루투아 공항,AXR,NTGU,기존공항
Arviat Airport,아르비앗 공항,YEK,CYEK,기존공항
Arvidsjaur Airport,아르비스야우르 공항,AJR,ESNX,기존공항
Arxan Yi'ershi Airport,아르산이얼시공항,YIE,ZBES,기존공항
Asaba International Airport,아사바 국제공항,ABB,DNAS,기존공항
