,code,name,latitude_deg,longitude_deg
264,CDR,Chadron Municipal Airport,42.83760071,-103.0950012
265,CGQ,Changchun Longjia International Airport,43.996201,125.684998
266,CGD,Changde Taohuayuan Airport,28.9189,111.639999
267,CNI,Changhai Airport,39.266667,122.666944
268,CSX,Changsha Huanghua International Airport,28.189199,113.220001
269,CIH,Changzhi Wangcun Airport,36.247501,113.125999
270,CZX,Changzhou Benniu International Airport,31.919701,119.778999
271,CHG,Chaoyang Airport,41.538101,120.434998
272,CHS,Charleston International Airport,32.898602,-80.040497
273,CTL,Charleville Airport,-26.41329956,146.2619934
274,YCL,Charlo Airport,47.990799,-66.330299
275,CLT,Charlotte Douglas International Airport,35.2140007,-80.94309998
276,CHO,Charlottesville Albemarle Airport,38.1385994,-78.45290375
277,YYG,Charlottetown Airport,46.29000092,-63.12110138
278,YYG,Charlottetown Airport,52.765774,-56.11237
279,CSY,Cheboksary Airport,56.09030151,47.34730148
280,CTU,Chengdu Shuangliu International Airport,30.558257,103.945966
281,MAA,Chennai International Airport,12.990005,80.169296
282,CEE,Cherepovets Airport,59.27360153,38.01580048
283,CKC,Cherkasy International Airport,49.41559982,31.99530029
284,CWC,Chernivtsi International Airport,48.25930023,25.98080063
285,YCS,Chesterfield Inlet Airport,63.34690094,-90.73110199
286,YHR,Chevery Airport,50.46889877,-59.63669968
287,CNX,Chiang Mai International Airport,18.76679993,98.96260071
288,MDW,Chicago Midway International Airport,41.785999,-87.752403
289,ORD,Chicago O'Hare International Airport,41.9786,-87.9048
290,PWK,Chicago Executive Airport,42.114222,-87.901494
291,CIC,Chico Municipal Airport,39.79539871,-121.8580017
292,CIF,Chifeng Yulong Airport,42.157708,118.839455
293,VPY,Chimoio Airport,-19.15130043,33.42900085
294,CCL,Chinchilla Airport,-26.771947,150.617571
295,CIP,Chipata Airport,-13.55830002,32.58720016
296,DUE,Dundo Airport,-7.400889874,20.81850052
297,CJL,Chitral Airport,35.886213,71.799922
298,JUH,Chizhou Jiuhuashan Airport,30.7403,117.6856
299,CKH,Chokurdakh Airport,70.6231,147.901993
300,CKG,Chongqing Jiangbei International Airport,29.712254,106.651895
301,WSK,Chongqing Wushan Airport,31.06896,109.708958
302,HOS,Chos Malal Airport,-37.44469833,-70.22250366
303,CHC,Christchurch International Airport,-43.48939896,172.5319977
304,XCH,Christmas Island Airport,-10.449382,105.690931
305,CJM,Chumphon Airport,10.7112,99.361702
306,ZUM,Churchill Falls Airport,53.56190109,-64.10639954
307,CMJ,Qimei Airport,23.213127,119.417539
308,CKB,North Central West Virginia Airport,39.2966,-80.228104
309,CMQ,Clermont Airport,-22.7730999,147.6210022
310,CFE,Clermont-Ferrand Auvergne Airport,45.7867012,3.169169903
311,CLE,Cleveland Hopkins International Airport,41.4117012,-81.84980011
312,CNJ,Cloncurry Airport,-20.66860008,140.5039978
313,YCY,Clyde River Airport,70.48609924,-68.51670074
314,CIZ,Coari Airport,-4.13406,-63.132599
315,CAZ,Cobar Airport,-31.53829956,145.7940063
316,CUQ,Coen Airport,-13.761133,143.113311
317,CFS,Coffs Harbour Airport,-30.320601,153.115997
318,CDB,Cold Bay Airport,55.2061,-162.725006
319,COU,Columbia Regional Airport,38.8181,-92.219597
320,CLU,Columbus Municipal Airport,39.262386,-85.895576
321,CLU,Columbus Municipal Airport,41.44800186,-97.34259796
322,CLU,Columbus Municipal Airport,48.89860153,-102.7919998
323,CMH,John Glenn Columbus International Airport,39.998001,-82.891899
324,CSG,Columbus Airport,31.823898,-107.629924
325,CSG,Columbus Airport,38.11669,-118.00548
326,GTR,Golden Triangle Regional Airport,33.45029831,-88.59140015
327,CPD,Coober Pedy Airport,-29.038312,134.722166
328,COH,Cooch Behar Airport,26.3305,89.467201
